recipe_id,title,ingredients,category,ratings,reviews,calories,total_mins,image_url,instructions
1,Delicious Recipe 1,"[""Paprika"", ""Beef"", ""Yogurt"", ""Beef strips"", ""Cream"", ""Broccoli""]","[""Gluten-Free""]",3.3,128,795,42,https://via.placeholder.com/150?text=Recipe+1,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
2,Delicious Recipe 2,"[""Ginger"", ""Olive oil"", ""Yogurt"", ""Cheese"", ""Milk"", ""Asparagus"", ""Avocado"", ""Vanilla extract"", ""Cucumber""]","[""Keto"", ""Vegetarian""]",3.8,444,631,63,https://via.placeholder.com/150?text=Recipe+2,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
3,Delicious Recipe 3,"[""Butter"", ""Zucchini"", ""Chicken breast"", ""Lettuce"", ""Cheese"", ""Pork""]","[""Vegetarian""]",4.5,99,274,15,https://via.placeholder.com/150?text=Recipe+3,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
4,Delicious Recipe 4,"[""Dill"", ""Milk"", ""Cherry tomatoes"", ""Lime"", ""Soy sauce"", ""Turkey"", ""Ginger""]","[""Vegan""]",4.5,589,664,48,https://via.placeholder.com/150?text=Recipe+4,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
5,Delicious Recipe 5,"[""Onion"", ""Beef"", ""Bell peppers"", ""Cucumber"", ""Vanilla extract"", ""Parmesan"", ""Broccoli"", ""Basil""]","[""Vegan"", ""Vegetarian""]",4.3,222,724,35,https://via.placeholder.com/150?text=Recipe+5,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
6,Delicious Recipe 6,"[""Mushroom"", ""Tomatoes"", ""Potato"", ""Cheese"", ""Cream"", ""Cumin"", ""Chicken breast""]","[""Vegetarian""]",4.2,215,271,65,https://via.placeholder.com/150?text=Recipe+6,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
7,Delicious Recipe 7,"[""Cream"", ""Mushrooms"", ""Salt"", ""Oregano"", ""Cream"", ""Chocolate chips"", ""Tomato"", ""Mushroom""]","[""Non-Vegetarian""]",4.0,760,550,11,https://via.placeholder.com/150?text=Recipe+7,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
8,Delicious Recipe 8,"[""Yogurt"", ""Broccoli"", ""Dill"", ""Cucumber"", ""Tortillas"", ""Butter""]","[""Non-Vegetarian""]",4.7,748,659,13,https://via.placeholder.com/150?text=Recipe+8,Prepare all ingredients by washing and chopping. Cook meat or vegetables in a pan over medium heat. Add spices and seasonings to taste. Simmer until everything is cooked through. Plate and serve warm.
9,Delicious Recipe 9,"[""Salt"", ""Sugar"", ""Chicken breast"", ""Olive oil"", ""Flour"", ""Dill"", ""Tomatoes"", ""Tortillas""]","[""Gluten-Free""]",3.4,476,262,88,https://via.placeholder.com/150?text=Recipe+9,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
10,Delicious Recipe 10,"[""White fish"", ""Mushroom"", ""Pasta"", ""Cherry Tomatoes"", ""Tortillas"", ""Chicken"", ""Mushrooms"", ""Tortillas"", ""Lettuce"", ""Dill""]","[""Vegan""]",3.3,983,235,42,https://via.placeholder.com/150?text=Recipe+10,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
11,Delicious Recipe 11,"[""Chicken"", ""Avocado"", ""Carrot"", ""Cream"", ""Chocolate chips"", ""Fish"", ""Egg"", ""Cabbage""]","[""Gluten-Free""]",3.1,487,422,47,https://via.placeholder.com/150?text=Recipe+11,"Boil water in a pot and prepare any gluten-free grains or pasta. In a separate pan, cook vegetables and/or meat. Mix everything together in a large bowl. Add sauces or seasoning as desired. Serve immediately."
12,Delicious Recipe 12,"[""Pepper"", ""Zucchini"", ""Flour"", ""Cucumber"", ""Asparagus"", ""Carrots""]","[""Vegetarian"", ""Vegan""]",4.5,332,318,78,https://via.placeholder.com/150?text=Recipe+12,"Wash and chop all vegetables. Heat oil in a pan over medium heat. Add the vegetables and sauté until tender. Season with salt, pepper, and any spices. Serve hot with your choice of side."
13,Delicious Recipe 13,"[""Broccoli"", ""Bell peppers"", ""Salmon fillet"", ""Bell Pepper"", ""Bread"", ""Cherry Tomatoes"", ""Vanilla extract"", ""Butter""]","[""Keto""]",4.0,154,805,80,https://via.placeholder.com/150?text=Recipe+13,Preheat oven to 375°F (190°C). Prepare ingredients by chopping and measuring them. Combine all ingredients in a mixing bowl. Transfer mixture to a baking dish or pan. Bake for 20-30 minutes until golden and cooked through.
